"bsv"	"corpus"	"context before"	"extracted conjunction"	"context after"	"html tags"	"pos tags"	"lemma tags"	"location"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_no6_du_26-03-19_cle8da969.html"	"d2kab"	"es dans la rotation"	"(pois, luzerne, colza"	", ). Une attention p"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM"	"(, pois, ,, luzerne, ,, colza"	"5855-5876"	"type=GN, form=(pois, luzerne, colza"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/alsace_gdes_cultures_no10_du_30-04-19_cle015281.html"	"d2kab"	"ia dans la rotation"	"(colza, tournesol, soja, pois )"	"Les attaques recensé"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN"	"(, colza, ,, tournesol, ,, soja, ,, pois, )"	"2223-2254"	"type=GN, form=(colza, tournesol, soja, pois )"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_gc_mp_n11_12122019_cle0bba99.html"	"d2kab"	"celles en précédent"	"paille et colza"	". CEREALES A PAILLE"	"HTML, BODY, P"	"NOM, KON, NOM"	"paille, et, colza"	"1093-1108"	"type=GN, form=paille et colza"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_gc_mp_n11_12122019_cle0bba99.html"	"d2kab"	"avec des précédents"	"paille ou colza"	". REPRODUCTION DU BU"	"HTML, BODY, P"	"NOM, KON, NOM"	"paille, ou, colza"	"5671-5686"	"type=GN, form=paille ou colza"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_gc_mp_n19_21032019_cle0c7f7d.html"	"d2kab"	"malgré la présence"	"sur blé tendre et blé dur"	"en semis précoceRou"	"HTML, BODY, P"	"PRP, NOM, ADJ, KON, NOM, ADJ"	"sur, blé, tendre, et, blé, dur"	"1453-1478"	"type=GN, form=sur blé tendre et blé dur"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_gc_mp_n19_21032019_cle0c7f7d.html"	"d2kab"	"olza en particulier"	"(tournesol, soja"	", cultures légumière"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM"	"(, tournesol, ,, soja"	"10696-10712"	"type=GN, form=(tournesol, soja"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_gc_mp_n19_21032019_cle0c7f7d.html"	"d2kab"	"0% de pieds touchés"	"en blé tendre et blé dur"	". Période de risque"	"HTML, BODY, P"	"PRP, NOM, ADJ, KON, NOM, ADJ"	"en, blé, tendre, et, blé, dur"	"17991-18015"	"type=GN, form=en blé tendre et blé dur"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_gc_mp_n27_16052019_cle046a11.html"	"d2kab"	"rritoire concernant"	"les protéagineux(féverole d'hiver, pois d'hiver et pois"	"de printemps) est m"	"HTML, BODY, P"	"DET:ART, NOM, NOM, PUN, NOM, NOM, KON, NOM"	"le, protéagineux(féverole, d'hiver, ,, pois, d'hiver, et, pois"	"27601-27656"	"type=GN, form=les protéagineux(féverole d'hiver, pois d'hiver et pois"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_grandes_cultures_n10_22112018_cle815c16.html"	"d2kab"	"celles en précédent"	"paille et colza"	"sont à surveiller a"	"HTML, BODY, P"	"NOM, KON, NOM"	"paille, et, colza"	"1084-1099"	"type=GN, form=paille et colza"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/bsv_grandes_cultures_n10_22112018_cle815c16.html"	"d2kab"	"lage) en précédents"	"paille et colza"	". L'analyse de risqu"	"HTML, BODY, P"	"NOM, KON, NOM"	"paille, et, colza"	"13574-13589"	"type=GN, form=paille et colza"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/char_gdes_Cultures_no11_du_30-04-19_cle096f9c.html"	"d2kab"	"ia dans la rotation"	"(colza, tournesol, pois )"	";- Les conditions c"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN"	"(, colza, ,, tournesol, ,, pois, )"	"14045-14070"	"type=GN, form=(colza, tournesol, pois )"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/char_gdes_Cultures_no14_du_22-05-19_cle0b1586.html"	"d2kab"	"post-semis prélevée"	"du maïs, la herse"	"étrille peut être e"	"HTML, BODY, P"	"PRP:det, NOM, PUN, DET:ART, NOM"	"du, maïs, ,, le, herse"	"25744-25761"	"type=GN, form=du maïs, la herse"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/char_gdes_Cultures_no14_du_22-05-19_cle0b1586.html"	"d2kab"	"Au-delà de la levée"	"du maïs, la herse"	"étrille peut occasi"	"HTML, BODY, P"	"PRP:det, NOM, PUN, DET:ART, NOM"	"du, maïs, ,, le, herse"	"25872-25889"	"type=GN, form=du maïs, la herse"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20180802_bsvmaraichage_19_cle04c2cf.html"	"d2kab"	"e la région (choux,"	"radis, roquette"	", etc..). Des petits"	"HTML, BODY, P"	"NOM, PUN, NOM"	"radis, ,, roquette"	"6610-6625"	"type=GN, form=radis, roquette"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20180920_bsvmaraichage_cle0649bf.html"	"d2kab"	"asse-Goulaine (44)."	"Courgette et Potiron"	": parcelles flottan"	"HTML, BODY, P"	"NOM, KON, NOM"	"courgette, et, potiron"	"5343-5363"	"type=GN, form=Courgette et Potiron"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20180920_bsvmaraichage_cle0649bf.html"	"d2kab"	"asse-Goulaine (44)."	"Courgette et Potiron"	": parcelles flottan"	"HTML, BODY, P"	"NOM, KON, NOM"	"courgette, et, potiron"	"7117-7137"	"type=GN, form=Courgette et Potiron"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20180920_bsvmaraichage_cle0649bf.html"	"d2kab"	"re (49) en parcelle"	"de concombre et courgette"	"et à Beaufort-en-Va"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"de, concombre, et, courgette"	"7623-7648"	"type=GN, form=de concombre et courgette"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20181011_bsvmaraichage_27_cle09c363.html"	"d2kab"	"gumières : carotte,"	"tomate, concombre"	",... Les populations"	"HTML, BODY, P"	"NOM, PUN, NOM"	"tomate, ,, concombre"	"798-815"	"type=GN, form=tomate, concombre"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20181011_bsvmaraichage_27_cle09c363.html"	"d2kab"	"n'y a pas de risque"	"pour les panais et céleri"	"en production. Mouc"	"HTML, BODY, P"	"PRP, DET:ART, NOM, KON, NOM"	"pour, le, panais, et, céleri"	"7152-7177"	"type=GN, form=pour les panais et céleri"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190502_BSV_legumes_cle079711.html"	"d2kab"	"es hivernées telles"	"le persil ou l'épinard"	"ont permis leur pas"	"HTML, BODY, P"	"DET:ART, NOM, KON, NOM"	"le, persil, ou, l'épinard"	"22181-22203"	"type=GN, form=le persil ou l'épinard"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190502_BSV_legumes_cle079711.html"	"d2kab"	"t vers des cultures"	"comme l'aubergine ou le poivron"	". Ci-contre : nombre"	"HTML, BODY, P"	"KON, NOM, KON, DET:ART, NOM"	"comme, l'aubergine, ou, le, poivron"	"22594-22625"	"type=GN, form=comme l'aubergine ou le poivron"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190502_BSV_legumes_cle079711.html"	"d2kab"	"ns, décolorations)."	"Les aubergines et poivrons"	"ont été plantées la"	"HTML, BODY, P"	"DET:ART, NOM, KON, NOM"	"le, aubergine, et, poivron"	"24438-24464"	"type=GN, form=Les aubergines et poivrons"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190502_BSV_legumes_cle079711.html"	"d2kab"	"s. Restez vigilants"	"sur les aubergines et poivrons"	"qui sont les cultur"	"HTML, BODY, P"	"PRP, DET:ART, NOM, KON, NOM"	"sur, le, aubergine, et, poivron"	"25112-25142"	"type=GN, form=sur les aubergines et poivrons"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190731_BSV_legumes_cle01d6c6.html"	"d2kab"	"choux pommés, types"	"chou blanc et chou rouge"	", on observe moins d"	"HTML, BODY, P"	"NOM, ADJ, KON, NOM, ADJ"	"chou, blanc, et, chou, rouge"	"29755-29779"	"type=GN, form=chou blanc et chou rouge"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190828_BSV_legumes_cle0ede1d.html"	"d2kab"	"parcelles du réseau"	"notamment chou de Milan et chou"	"à inflorescence. Se"	"HTML, BODY, P"	"ADV, NOM, PRP, NAM, KON, NOM"	"notamment, chou, de, Milan, et, chou"	"27487-27518"	"type=GN, form=notamment chou de Milan et chou"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190828_BSV_legumes_cle0ede1d.html"	"d2kab"	"maine la production"	"de poivrons de concombres et d'aubergine"	"est encore très cor"	"HTML, BODY, P"	"PRP, NOM, PRP, NOM, KON, NOM"	"de, poivron, de, concombre, et, d'aubergine"	"40659-40699"	"type=GN, form=de poivrons de concombres et d'aubergine"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20190828_BSV_legumes_cle0ede1d.html"	"d2kab"	"c le plus souvent)."	"Les navets et radis noirs"	"récemment semés se"	"HTML, BODY, P"	"DET:ART, NOM, KON, NOM, ADJ"	"le, navet, et, radis, noir"	"41795-41820"	"type=GN, form=Les navets et radis noirs"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/20191114_BSV_legumes_cle021d18.html"	"d2kab"	"de culture tardive"	"de persil ou d'épinard"	", le risque est supé"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"de, persil, ou, d'épinard"	"2096-2118"	"type=GN, form=de persil ou d'épinard"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4.html"	"d2kab"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"mais l'espèce s'en"	"HTML, BODY, P"	"NOM, PUN, DET:ART, NOM, KON, DET:ART, NOM"	"l'avocat, ,, le, mangue, et, le, papaye"	"21849-21881"	"type=GN, form=l'avocat, la mangue et la papaye"
