"bsv"	"corpus"	"entity"	"lemma"	"prefLabel"	"context before"	"context after"	"location"	"number of words"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"Germination"	"germination"	"stade principal BBCH 0"	"% 5% 4% 0% 0% semis"	"levée 1ère feuille"	"2343-2354"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=Germination"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"traitement avant la"	", lors du semis une"	"3277-3282"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"s limaces. Après la"	", le piégeage permet"	"3618-3623"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"bservés (perte à la"	", dégâts sur feuille"	"3699-3704"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"r le semis pour une"	"rapide et un bon dé"	"4671-4676"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"ode de risque De la"	"jusqu'à fin novembr"	"15840-15845"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levée"	"levée"	"stade secondaire BBCH 009 "	"les insectes Dès la"	"du colza, installez"	"16214-16219"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levées"	"levée"	"stade secondaire BBCH 009 "	"ions entraînent des"	"hétérogènes (Sud Ce"	"18491-18497"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levées"	"levée"	"stade secondaire BBCH 009 "	"département 36, les"	"sont très hétérogèn"	"19013-19019"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20181106_bsv_grandes_cultures_34_cle08159b.html"	"d2kab"	"levées"	"levée"	"stade secondaire BBCH 009 "	"ettent de nouvelles"	". Analyse du risque"	"19186-19192"	"4407"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db.html"	"d2kab"	"début montaison"	"début montaison"	"stade secondaire BBCH 30"	"parcelles au stade"	". De nouvelles captu"	"310-325"	"1021"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH30, skos-prefLabel=stade secondaire BBCH 30, form=début montaison"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db.html"	"d2kab"	"BBCH31"	"BBCH31"	"stade secondaire BBCH 31"	", avec le stade C2 ("	") majoritaire sur ce"	"905-911"	"1021"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH31, skos-prefLabel=stade secondaire BBCH 31, form=BBCH31"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"tallage"	"tallage"	"stade principal BBCH 2"	"des céréales : fin"	"Montaison démarrée"	"208-215"	"2644"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH2, skos-prefLabel=stade principal BBCH 2, form=tallage"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"tallage"	"tallage"	"stade principal BBCH 2"	"n fin de période de"	". Il y a 14 parcelle"	"1230-1237"	"2644"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH2, skos-prefLabel=stade principal BBCH 2, form=tallage"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"tallage"	"tallage"	"stade principal BBCH 2"	"base du plateau de"	"et le sommet de l'é"	"1811-1818"	"2644"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH2, skos-prefLabel=stade principal BBCH 2, form=tallage"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"tallage"	"tallage"	"stade principal BBCH 2"	"à 1cm du plateau de"	". Figure 1 :"	"1949-1956"	"2644"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH2, skos-prefLabel=stade principal BBCH 2, form=tallage"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"tallage"	"tallage"	"stade principal BBCH 2"	"n fin de période de"	". Il y a 4 parcelles"	"2184-2191"	"2644"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH2, skos-prefLabel=stade principal BBCH 2, form=tallage"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190320_LOR_BSV_Grandes_Cultures_cle83816d.html"	"d2kab"	"BBCH57"	"BBCH57"	"stade secondaire BBCH 57"	"e boutons séparés(E-"	") 2-3 méligèthes/pla"	"7120-7126"	"2644"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH57, skos-prefLabel=stade secondaire BBCH 57, form=BBCH57"
