"bsv"	"corpus"	"entity"	"lemma"	"prefLabel"	"context before"	"context after"	"location"	"number of words"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3/4 ="	"14). a. Limaces Des"	"21370-21374"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH 14"	"BBCH @card@"	""	"4 feuilles (B3-B4 ="	") à boutons étoilé ("	"23827-23834"	"5504"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3-B4 ="	"14) à boutons étoil"	"23827-23831"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3-B4 ="	"14) à boutons étoil"	"23827-23831"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH 51"	"BBCH @card@"	""	"outons étoilé (E1 ="	"). Le seuil indicati"	"23859-23866"	"5504"	"type=BBCH-DD, canonical-form=BBCH 51, form=BBCH 51"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"outons étoilé (E1 ="	"51). Le seuil indic"	"23859-23863"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"outons étoilé (E1 ="	"51). Le seuil indic"	"23859-23863"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2.html"	"d2kab"	"G4(BBCH73)"	"G4(BBCH73)"	""	"elles sont au stade"	". 4 autres parcelles"	"1789-1799"	"4628"	"type=?BBCH?, form=G4(BBCH73)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2.html"	"d2kab"	"BBCH72"	"BBCH72"	""	"le est au stade G3 ("	"). Retrouver les dif"	"1916-1922"	"4628"	"type=BBCH, canonical-form=BBCH 72, form=BBCH72"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2.html"	"d2kab"	"BBCH72"	"BBCH72"	""	"le est au stade G3 ("	"). Retrouver les dif"	"1916-1922"	"4628"	"type=?BBCH?, form=BBCH72"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH 12"	"BBCH @card@"	""	"les étalées (B1 B2="	") et l'apparition de"	"19982-19989"	"5369"	"type=BBCH-DD, canonical-form=BBCH 12, form=BBCH 12"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"les étalées (B1 B2="	"12) et l'apparition"	"19982-19986"	"5369"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"les étalées (B1 B2="	"12) et l'apparition"	"19982-19986"	"5369"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH 14"	"BBCH @card@"	""	"4 feuilles (B3/4 ="	"). a. Limaces Des dé"	"20345-20352"	"5369"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3/4 ="	"14). a. Limaces Des"	"20345-20349"	"5369"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3/4 ="	"14). a. Limaces Des"	"20345-20349"	"5369"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH 14"	"BBCH @card@"	""	"4 feuilles (B3-B4 ="	") à boutons étoilé ("	"22383-22390"	"5369"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3-B4 ="	"14) à boutons étoil"	"22383-22387"	"5369"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3-B4 ="	"14) à boutons étoil"	"22383-22387"	"5369"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH 51"	"BBCH @card@"	""	"outons étoilé (E1 ="	"). Le seuil indicati"	"22415-22422"	"5369"	"type=BBCH-DD, canonical-form=BBCH 51, form=BBCH 51"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"outons étoilé (E1 ="	"51). Le seuil indic"	"22415-22419"	"5369"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190522_LOR_BSV_Grandes_Cultures_cle8b3b61.html"	"d2kab"	"BBCH"	"BBCH"	""	"outons étoilé (E1 ="	"51). Le seuil indic"	"22415-22419"	"5369"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH 10"	"BBCH @card@"	""	"tylédon (stade A ou"	") ;- 1 parcelle à 1"	"933-940"	"1721"	"type=BBCH-DD, canonical-form=BBCH 10, form=BBCH 10"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"tylédon (stade A ou"	"10) ;- 1 parcelle à"	"933-937"	"1721"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"tylédon (stade A ou"	"10) ;- 1 parcelle à"	"933-937"	"1721"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH 11"	"BBCH @card@"	""	"vraie (stade B1 ou"	") ;- 3 parcelles à 2"	"987-994"	"1721"	"type=BBCH-DD, canonical-form=BBCH 11, form=BBCH 11"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraie (stade B1 ou"	"11) ;- 3 parcelles"	"987-991"	"1721"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH"	"BBCH"	""	"vraie (stade B1 ou"	"11) ;- 3 parcelles"	"987-991"	"1721"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f.html"	"d2kab"	"BBCH 12"	"BBCH @card@"	""	"vraies (stade B2 ou"	") ;- 5 parcelles à 3"	"1044-1051"	"1721"	"type=BBCH-DD, canonical-form=BBCH 12, form=BBCH 12"
