"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"t d'utilisation des"	"semences"	"semence"	"semence"	"traitées populeuse"	"13010-13018"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Semences, skos-prefLabel=semence, form=semences"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"jour au coucher du"	"soleil"	"soleil"	"tournesol"	". Les bonnes pratiqu"	"15042-15048"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=soleil"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"P."	"aïeu ayant servi de"	"semence"	"semence"	"semence"	". Les plantes Larve"	"1574-1581"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Semences, skos-prefLabel=semence, form=semence"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"FOOTER."	"DE SANTÉ DU VÉGÉTAL"	"AIL"	"ail"	"ail"	"N° 5 DU 5 AVRIL 201"	"2002-2005"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Ails, skos-prefLabel=ail, form=AIL"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"P."	"aïeu ayant servi de"	"semence"	"semence"	"semence"	") contactez votre te"	"2665-2672"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Semences, skos-prefLabel=semence, form=semence"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"FIGURE. FIGCAPTION."	"z votre technicien."	"Ail"	"ail"	"ail"	"violet attaqué par"	"2702-2705"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Ails, skos-prefLabel=ail, form=Ail"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"P."	"s du vent. Pustules"	"orangées"	"oranger"	"oranger"	"de rouille sur ail"	"3301-3309"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orangers, skos-prefLabel=oranger, form=orangées"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"P."	"gées de rouille sur"	"ail"	"ail"	"ail"	"Les conditions opti"	"3325-3328"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Ails, skos-prefLabel=ail, form=ail"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"P."	"rition des pustules"	"orangées"	"oranger"	"oranger"	"sur les feuilles de"	"4237-4245"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orangers, skos-prefLabel=oranger, form=orangées"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"FOOTER."	"DE SANTÉ DU VÉGÉTAL"	"AIL"	"ail"	"ail"	"N° 5 DU 5 AVRIL 201"	"4329-4332"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Ails, skos-prefLabel=ail, form=AIL"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"P."	"llage La striure du"	"poireau"	"poireau"	"poireau"	"(LYSV pour Leek Yel"	"4617-4624"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Poireaux, skos-prefLabel=poireau, form=poireau"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"P."	"la production d'ail"	"semence"	"semence"	"semence"	". REPRODUCTION DU BU"	"5642-5649"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Semences, skos-prefLabel=semence, form=semence"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"FIGURE. FIGCAPTION."	"l'animateur filière"	"Ail"	"ail"	"ail"	"de la Chambre d'agr"	"5823-5826"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Ails, skos-prefLabel=ail, form=Ail"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/05_bsv_ail_05042012_V3.html"	"html"	"1168"	"FOOTER."	"DE SANTÉ DU VÉGÉTAL"	"AIL"	"ail"	"ail"	"N° 5 DU 5 AVRIL 201"	"6597-6600"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Ails, skos-prefLabel=ail, form=AIL"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"H2."	"5 avril 2011 N° 06"	"COLZA"	"colza"	"colza"	"Les premières fleur"	"79-84"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/06_BSV_GC_05042011_cle8889ba.html"	"html"	"478"	"P."	"COLZA Les premières"	"fleurs"	"fleur"	"floriculture"	"apparaissent sur le"	"99-105"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_florales, skos-prefLabel=floriculture, form=fleurs"
