	Line	Column	Rule ID	Prio	Message	Word	Suggestion
1146	2562	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cédent	cèdent; cédant; codent; cément; quêtent
1147	2563	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cédentes	édentés; cédantes; cémentes; cémentés; redentés
1148	2564	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	célium	césium; hélium; cérium; celtium
1149	2573	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Abouriou	Bouriot
1150	2575	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Agrciulture	Agriculture
1151	2576	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Agrculture	Agriculture
1152	2578	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Agri	Agir; Abri; Agi; Aigri; Agui
1153	2579	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Agricul	Agricole; Auricule; Agricha; Agriche; Agrichè
1154	2582	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Aigues	A igues; Aiguës; Aigües; Anges; Ligues
1155	2583	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Allassac	Alyssa; Allas sac
1156	2586	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Anglars	Anglais
1157	2591	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Auty	Auto
1158	2596	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Entraygues	Engrangés; Enrayages; Centrages; Engranges; Rentrages
1159	2597	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Erinose	Erin ose
1160	2600	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Eudemis	Eudémis; Eu demis
1161	2602	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Eulia	Julia; Enlia; Eu lia
1162	2605	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Irouleguy	Rouleaux; Promulgue; Promulgué; Rouleau; Promulgua
1163	2606	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Irouléguy	Rouleaux; Promulgue; Promulgué; Rouleau; Promulgua
1164	2607	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Objat	Objet; Oblat
1165	2609	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Olt	Ont; Out; Oct; Ost; Volt
1166	2612	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Ornon	Ognon; Orion; Orlon; Ornons; Or non
1167	2614	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'Ouveillan	Nouvelle; Nouvelles; Révéla; Révélant; Oreille
1168	2616	1			Cette contraction peut être considérée familière.	d'Raisins	de Raisins
1169	2653	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'ap	AP; App; app; à; a
1170	2674	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'attrapper	attraper; attrape; attrapé; attrapes; attrapée
1171	2686	3			Le verbe « aéra » devrait être à l’infinitif après la préposition « d’ »	d'aéra	aérer
1172	2713	3			Le verbe « exposent » devrait être à l’infinitif après la préposition « d’ »	d'exposent	exposer
1173	2735	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'incu	inca; insu; indu; Inc
1174	2761	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'obser	oser; aubier; bosser; obier
1175	2792	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'épidé- mie	épine; égide; épice; épicé; évidé
1176	2796	3	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	d'érinose	épineuse; mérinos; ribose; trinôme; érine
1177	2813	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	da	Da; dA; de; la; du
1178	2817	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dant	d'ans; d'Anne; dans; dont; tant
1179	2818	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dante	Dante; d'ante; date; santé; danse
1180	2820	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	darmoise	d'armoise; armoise
1181	2824	1			Faute de frappe possible : un mot est répété : de de. Correction : « de ».	de	de
1182	2829	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dead	de ad; d'EA; DEA; Dean; deal
1183	2830	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	default	d'effort; défaut; défont
1184	2833	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	del'Alimentation	réalimentation
1185	2834	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	delle	dalle; dallé; dallè; elle; celle
1186	2835	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	delles	dalles; dallés; celles; elles; telles
1187	2843	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	demment	d'emmené; d'Emmett; d'Emmen; dément; démenti
1188	2848	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dentes	dentés; dents; ventes; dettes; pentes
1189	2855	1			« descente » et « descriptif » ne semblent pas bien accordés en genre.	descriptif	descriptive
1190	2856	1			« descriptif » et « description » ne semblent pas bien accordés en genre.	description	
1191	2857	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	desherbage	des herbage; désherbage; désherbages
1192	2861	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	desséchement	d'assèchement; d'asséchement; d'assèchements; d'asséchements; dessèchement
1193	2866	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	deuses	de uses; d'Eudes; d'eues; denses; déesses
1194	2867	1	D_N[1] 	1	‘Deux’ et le nom ‘deuxième’ ne semblent pas bien accordés.	deux	deux deuxièmes
1195	2875	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	diasposantes	disposantes
1196	2879	1			« difficulté » et « diffus » ne semblent pas bien accordés en genre.	diffus	
1197	2882	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	diffé	d'effet; d'offre; d'off; d'ifs; Duffel
1198	2892	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	diou	dieu; Dior; Dieu; diol; diot
1199	2912	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	distinc	distinct
1200	2917	1			« distributeur » et « distribution » ne semblent pas bien accordés en genre.	distribution	
1201	2920	1			« divergence » et « divers » ne semblent pas bien accordés en genre.	divers	
1202	2923	1	D_N[1] 	1	‘Dix’ et le nom ‘dizaine’ ne semblent pas bien accordés.	dix	dix dizaines
1203	2934	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	donnay	d'Anna; d'annal; donna; sonna; donnât
1204	2938	1			Faute de frappe possible : un mot est répété : dont dont. Correction : « dont ».	dont	dont
1205	2939	6	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dont-bsv	BSD; mSv; ESv; GSv; MSv
1206	2942	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dorsalis	dorsales
1207	2951	1			« douteux » et « douzaine » ne semblent pas bien accordés en genre.	douzaine	
1208	2952	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	draaf	drame; drama; drap; draps; Drake
1209	2954	1			« drainage » et « drainants » ne semblent pas bien accordés en nombre.	drainage	
1210	2957	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	drer	der; RER; durer; errer; dorer
1211	2960	1			Faute de frappe possible : un mot est répété : droit droit. Correction : « droit ».	droit	droit
1212	2963	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dré	Dre; de; dire; due; dure
1213	2964	1			Faute de frappe possible : un mot est répété : du du. Correction : « du ».	du	du
1214	2966	4	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	du-vegetal	végétal; végétale; végéta; végétai; végétas
1215	2967	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	duire	du ire; d'aire; dire; dure; duré
1216	2989	1			« décennal » et « décennie » ne semblent pas bien accordés en genre.	décennie	
1217	2994	1			« décisif » et « décision » ne semblent pas bien accordés en genre.	décision	
1218	3008	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	décroire	décrire; décroître; décroitre; ducroire; décroisé
1219	3019	1			« défoliation » et « défoliatrices » ne semblent pas bien accordés en nombre.	défoliation	
1220	3039	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dépas	d'épais; d'épars; d'épis; d'appas; dépasse
1221	3073	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	déve	d'Ève; d'Eve; rêve; Dave; levé
1222	3074	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dévelop	développe; développé; développa; développè
1223	3078	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	dûe	due; de; du; que; rue
1224	3079	1			Faute de frappe possible : un mot est répété : e e. Correction : « e ».	e	e
1225	3081	5	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	e - GDV	GDF; GeV; GV; GDa; GSv
1226	3082	5	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	e - GE	DE; LE; CE; SE; NE
1227	3086	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	e@agrometeo	
1228	3088	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ecologie	écologie; écologies; écologue
1229	3089	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ecophyto	néophyte; épiphyte; écopent; écopant; Crofton
1230	3090	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ecophytopic	
1231	3091	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ect	ex; et; est; cet; etc
1232	3093	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ede	de; été; cède; ère; EDF
1233	3102	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	els	les; elle; ils; elles; tels
1234	3103	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	em	Em; et; en; km; cm
1235	3105	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	eme-traitement	été; même; me; âme; ère
1236	3115	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	encoredébuté	encore débuté
1237	3117	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	end	en; rend; tend; vend; env
1238	3123	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	engen	engin
1239	3127	1			« enherbement » et « enherbements » ne semblent pas bien accordés en nombre.	enherbement	
1240	3161	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	eou	ou; où; élu; eau; eaux
1241	3162	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ep	EP; et; en; ex; IP
1242	3163	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	er	et; en; fer; mer; TER
1243	3164	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	ertiphyto	épiphyte; orthophoto
