"bsv"	"context"	"word"	"context"	"location"	"features"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"2) à fin floraison ("	"BBCH 69"	"). Seuil indicatif d"	"9835-9842"	"type=BBCH, form=BBCH 69"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"ère feuille étalée ("	"BBCH 39"	") :L'observation se"	"9915-9922"	"type=BBCH, form=BBCH 39"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"stade "" épi 1 cm "" ("	"BBCH 30"	") : présence de foye"	"12196-12203"	"type=BBCH, form=BBCH 30"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"ir du stade 1 nœud ("	"BBCH 31"	") : dès les première"	"12334-12341"	"type=BBCH, form=BBCH 31"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"l'inflorescence "" ("	"BBCH55"	") à "" floraison "" (B"	"1350-1356"	"type=BBCH, form=BBCH55"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"5) à "" floraison "" ("	"BBCH65"	"). Cicadelles : les"	"1375-1381"	"type=BBCH, form=BBCH65"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"l'inflorescence "" ("	"BBCH 55"	") 62 % sont au stade"	"1945-1952"	"type=BBCH, form=BBCH 55"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"tade "" floraison "" ("	"BBCH 65"	") % de plan"	"1988-1995"	"type=BBCH, form=BBCH 65"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"du stade bouton (D1"	"BBCH 50"	") à début floraison"	"8842-8849"	"type=BBCH, form=BBCH 50"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"début floraison (F1"	"BBCH 60"	"). Au-delà de ce sta"	"8873-8880"	"type=BBCH, form=BBCH 60"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"tade "" 8 feuilles """	"BBCH 18"	"à "" rosette "" BBCH"	"1357-1364"	"type=BBCH, form=BBCH 18"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"CH 18 à "" rosette """	"BBCH 19"	". Charançon du bourg"	"1379-1386"	"type=BBCH, form=BBCH 19"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	""" début tallage "" ("	"BBCH 21"	"). Limaces : vigilan"	"2144-2151"	"type=BBCH, form=BBCH 21"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	""" 8 feuilles "" (B8"	"BBCH 18"	"), 86 % sont au stad"	"2716-2723"	"type=BBCH, form=BBCH 18"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"ade "" Rosette "" (B9"	"BBCH 19"	"). Charançon"	"2761-2768"	"type=BBCH, form=BBCH 19"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"rs à "" 1 feuille "" ("	"BBCH 11"	"). Des semis ont pu"	"12311-12318"	"type=BBCH, form=BBCH 11"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"sque : de la levée ("	"BBCH 09"	") à au-delà fin tall"	"14971-14978"	"type=BBCH, form=BBCH 09"
"BSV_GC_NA_Limousin_31_20191126_cle074695"	"lage si nécessaire ("	"BBCH 29"	"et +). Evaluation d"	"15017-15024"	"type=BBCH, form=BBCH 29"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"boutons accolés (D1"	"BBCH 50"	") au stade boutons s"	"2185-2192"	"type=BBCH, form=BBCH 50"
"BSV_GC_n_19_du_26_03_19_cle8bda1e"	"boutons séparés (E"	"BBCH 57"	"). La stratégie de l"	"2222-2229"	"type=BBCH, form=BBCH 57"
"BSV_NA_GC_AQUITAINE_N01_20190207_cle01cb7e"	"jorité le stade C1 ("	"BBCH30"	": reprise de végéta"	"2238-2244"	"type=BBCH, form=BBCH30"
"BSV_NA_GC_AQUITAINE_N01_20190207_cle01cb7e"	"s sont au stade C2 ("	"BBCH31"	": entre-noeuds visi"	"2345-2351"	"type=BBCH, form=BBCH31"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"épassé le stade B3 ("	"BBCH13"	": 3 feuilles), avec"	"4558-4564"	"type=BBCH, form=BBCH13"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"es s'étalent de B2 ("	"BBCH12"	": 2 feuilles) au st"	"4675-4681"	"type=BBCH, form=BBCH12"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"lles) au stade B10 ("	"BBCH19"	": 10 feuilles). Bul"	"4710-4716"	"type=BBCH, form=BBCH19"
"BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e"	"bourgeon terminal ("	"BBCH31"	"). Mais la lutte con"	"6765-6771"	"type=BBCH, form=BBCH31"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	": 7 à 12 feuilles ("	"BBCH 17"	"à 19). Surveillez l"	"1229-1236"	"type=BBCH, form=BBCH 17"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"es. Nota : le stade"	"BBCH"	"est entre parenthès"	"2435-2439"	"type=BBCH, form=BBCH"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"sé dès le stade F1 ("	"BBCH 60"	"). Pour la période d"	"6130-6137"	"type=BBCH, form=BBCH 60"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"chute des pétales ("	"BBCH 70"	") jusqu'à la fin de"	"6804-6811"	"type=BBCH, form=BBCH 70"
"BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad"	"jusqu'au stade G4 ("	"BBCH 73"	"). Seuil indicatif d"	"9705-9712"	"type=BBCH, form=BBCH 73"
"BSV_NA_GC_Poitou-Charentes_19_20190618_cle869d2b"	"r ? Nota : le stade"	"BBCH"	"est entre parenthès"	"1564-1568"	"type=BBCH, form=BBCH"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"D2 majoritairement ("	"BBCH 53"	"). Méligèthes : prés"	"1209-1216"	"type=BBCH, form=BBCH 53"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"tade : fin-tallage ("	"BBCH 29"	"), épi 1 cm (BBCH 30"	"1389-1396"	"type=BBCH, form=BBCH 29"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"BBCH 29), épi 1 cm ("	"BBCH 30"	") pour les plus avan"	"1409-1416"	"type=BBCH, form=BBCH 30"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"le. Nota : le stade"	"BBCH"	"est entre parenthès"	"1548-1552"	"type=BBCH, form=BBCH"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"tenant au stade D2 ("	"BBCH 53"	") et 76% des parcell"	"1943-1950"	"type=BBCH, form=BBCH 53"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"tteint le stade D1 ("	"BBCH 51"	"). Etonnamment en ce"	"2007-2014"	"type=BBCH, form=BBCH 51"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"stades : Stade D1 ("	"BBCH 51"	") : "" Boutons accolé"	"2441-2448"	"type=BBCH, form=BBCH 51"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"inales "". Stade D2 ("	"BBCH 53"	") : "" Inflorescence"	"2525-2532"	"type=BBCH, form=BBCH 53"
"BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15"	"visible "". Stade E ("	"BBCH 57"	") : "" Boutons séparé"	"2619-2626"	"type=BBCH, form=BBCH 57"
"alsace_gdes_cultures_no3_du_13-03-19_cle4272b9"	"outons accolés (D1)"	"BBCH50"	"colza handicapé, pe"	"3647-3653"	"type=BBCH, form=BBCH50"
"alsace_gdes_cultures_no3_du_13-03-19_cle4272b9"	"boutons séparés (E)"	"BBCH 57"	"2-3 méligèthes/plan"	"3993-4000"	"type=BBCH, form=BBCH 57"
"bsv_gc_mp_n01_25092019_cle039d59"	"s sont au stade B4 ("	"BBCH14"	": 4 feuilles), B5 ("	"3341-3347"	"type=BBCH, form=BBCH14"
"bsv_gc_mp_n01_25092019_cle039d59"	": 4 feuilles), B5 ("	"BBCH15"	"),B6 (BBCH16), B9 (B"	"3367-3373"	"type=BBCH, form=BBCH15"
"bsv_gc_mp_n01_25092019_cle039d59"	"s), B5 (BBCH15),B6 ("	"BBCH16"	"), B9 (BBCH19). La m"	"3379-3385"	"type=BBCH, form=BBCH16"
"bsv_gc_mp_n01_25092019_cle039d59"	"5),B6 (BBCH16), B9 ("	"BBCH19"	"). La majorité des p"	"3392-3398"	"type=BBCH, form=BBCH19"
"bsv_gc_mp_n01_25092019_cle039d59"	"s sont au stade B3 ("	"BBCH13"	": 3 feuilles). Enfi"	"3445-3451"	"type=BBCH, form=BBCH13"
"bsv_gc_mp_n02_03102019_cle0d83ff"	"rd'hui au stade B3 ("	"BBCH13"	": 3 feuilles) mais"	"2643-2649"	"type=BBCH, form=BBCH13"
"bsv_gc_mp_n02_03102019_cle0d83ff"	"étalent donc de B9 ("	"BBCH19"	": 9 feuilles) au st"	"2763-2769"	"type=BBCH, form=BBCH19"
"bsv_gc_mp_n19_21032019_cle0c7f7d"	"s sont au stade G1 ("	"BBCH65"	": chute des premier"	"4500-4506"	"type=BBCH, form=BBCH65"
"bsv_gc_mp_n19_21032019_cle0c7f7d"	"ers pétales) et F2 ("	"BBCH61"	": nombreuses fleurs"	"4544-4550"	"type=BBCH, form=BBCH61"
"bsv_gc_mp_n19_21032019_cle0c7f7d"	"% sont au stade F1 ("	"BBCH60"	": premières fleurs"	"4604-4610"	"type=BBCH, form=BBCH60"
"bsv_gc_mp_n19_21032019_cle0c7f7d"	"ujours au stade D1 ("	"BBCH50"	": boutons accolés e"	"4748-4754"	"type=BBCH, form=BBCH50"
"bsv_gc_mp_n19_21032019_cle0c7f7d"	"sque : du stade D1 ("	"BBCH50"	"boutons floraux acc"	"6250-6256"	"type=BBCH, form=BBCH50"
