id	type	context	context	context	word	context	context	context	location	features
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	de	coups	de	soleil	et	d’échaudage	.	1779-1785	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=soleil
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	)	Coups	de	soleil	(	Amélie	MARI—FREDON	2013-2019	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=soleil
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	véraison	.	OÏDIUM	FRUIT	Tous	les	éléments	2917-2922	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	n°	15	TORDEUSES	FRUIT	Tous	les	éléments	3721-3726	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	1	à	3	baies	attaquées	seulement	.	4077-4082	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Arbres_baies, skos-prefLabel=arbuste à baies, form=baies
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	n°	15	BOTRYTIS	FRUIT	Tous	les	éléments	4805-4810	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	La	compaction	des	baies	lors	de	la	4960-4965	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Arbres_baies, skos-prefLabel=arbuste à baies, form=baies
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	.	DROSOPHILA	SUZUKII	FRUIT	Tous	les	éléments	5190-5195	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	de	vol	en	vigne	ont	été	installés	5429-5434	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=vigne
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	de	risque	Les	fruits	peuvent	être	attaqués	5504-5510	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=fruits
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	PARTENAIRES	DU	RÉSEAU	VIGNE	V	i	t	6094-6099	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=VIGNE
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	Animation	du	réseau	Vigne	:	Amélie	MARI	6615-6620	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Vigne
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	16	04	2019	Viticulture	À	retenir	cette	148-159	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Viticulture
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	Ardèche	)	.	Gel	:	Des	dégâts	1594-1597	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Gels, skos-prefLabel=gel, form=Gel
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	n°3	,	2019	Viticulture	région	AURA	,	2511-2522	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Viticulture
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/BSV-viti-RA-03_16-04-2019_cle0bbc57.html	html	Vu	dans	les	vignes	1ères	prises	de	2584-2590	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=vignes
