"bsv"	"context"	"word"	"context"	"location"	"features"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"19144-19160"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"20948-20964"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"e BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"22936-22952"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"25041-25057"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	". BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"708-724"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"et de Saint Flour."	"Stades et état des cultures"	"La moitié des parce"	"1084-1111"	"type=N_KON_N, form=Stades et état des cultures"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	". BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"1945-1961"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"S BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"4650-4666"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"/ BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"6514-6530"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"e BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"7901-7917"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	". BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"9153-9169"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"ns le Puy-de-Dôme)."	"Stade et état des cultures"	"Les stades vont de"	"9417-9443"	"type=N_KON_N, form=Stade et état des cultures"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"mes de gel. Avant 5"	"feuilles, les dégâts de gel"	"touchent les premiè"	"9628-9655"	"type=N_PUN_N, form=feuilles, les dégâts de gel"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	". BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"10841-10857"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"3 BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"12778-12794"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	". BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"14260-14276"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	". BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"14404-14420"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"tagne Bourbonnaise."	"Stades et état des cultures"	"Les stades des trit"	"14782-14809"	"type=N_KON_N, form=Stades et état des cultures"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"s BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"15629-15645"	"type=N_PUN_N, form=Cultures, région"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	". BSV n°14, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"17192-17208"	"type=N_PUN_N, form=Cultures, région"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"de la culture Cette"	"semaine, les stades des blés"	"s'étalent de 3 nœud"	"2869-2897"	"type=N_PUN_N, form=semaine, les stades des blés"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"a dans la rotation ("	"colza, tournesol, soja, pois"	")- Les attaques rec"	"9837-9865"	"type=N_PUN_N, form=colza, tournesol, soja, pois"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"entices des Grandes"	"Cultures et les méthodes de lutte"	"préventive en consu"	"23301-23334"	"type=N_KON_N, form=Cultures et les méthodes de lutte"
"20190710_BSV_grandes_cultures_Auvergne_N21_cle0abf82"	"BSV n°21, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"395-411"	"type=N_PUN_N, form=Cultures, région"
"20190710_BSV_grandes_cultures_Auvergne_N21_cle0abf82"	"ns le Puy-de-Dôme)."	"Stade et état des cultures"	"Les stades vont de"	"667-693"	"type=N_KON_N, form=Stade et état des cultures"
"20190710_BSV_grandes_cultures_Auvergne_N21_cle0abf82"	"e BSV n°21, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"1170-1186"	"type=N_PUN_N, form=Cultures, région"
"20190710_BSV_grandes_cultures_Auvergne_N21_cle0abf82"	"e BSV n°21, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"2150-2166"	"type=N_PUN_N, form=Cultures, région"
"20190710_BSV_grandes_cultures_Auvergne_N21_cle0abf82"	"s BSV n°21, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"3717-3733"	"type=N_PUN_N, form=Cultures, région"
"20190710_BSV_grandes_cultures_Auvergne_N21_cle0abf82"	". BSV n°21, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"4245-4261"	"type=N_PUN_N, form=Cultures, région"
"20190710_BSV_grandes_cultures_Auvergne_N21_cle0abf82"	". BSV n°21, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"5807-5823"	"type=N_PUN_N, form=Cultures, région"
"20190710_LOR_BSV_Grandes_Cultures_cle8d764a"	"de la culture Cette"	"semaine, les maïs"	"sont compris entre"	"517-534"	"type=N_PUN_N, form=semaine, les maïs"
