"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"a communautaire des"	"fruits et légumes"	"fruits et légumes"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, légumes ( culture légumière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_legumieres"	". Toute suspicion do"	"27549-27566"	"type=N_KON_N, match=fcu, form=fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"durement impactées."	"Carotte et céleri"	"Carotte et céleri"	"Carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes, céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	"-rave Mouche de la c"	"1556-1573"	"type=N_KON_N, match=fcu, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"entre de la Vienne."	"Carotte et céleri"	"Carotte et céleri"	"Carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes, céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	"-rave Mouche de la c"	"7045-7062"	"type=N_KON_N, match=fcu, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"gie particulière de"	"la mouche de la carotte, la réalisation de piégeages"	"la mouche de la , la réalisation de piégeages"	"carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes"	"à la parcelle perme"	"7144-7196"	"type=N_PUN_N, match=fcu, form=la mouche de la carotte, la réalisation de piégeages"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"ment de larves dans"	"les fruits et légumes"	"les fruits et légumes"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, légumes ( culture légumière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_legumieres"	") de la mouche orien"	"17483-17504"	"type=N_KON_N, match=fcu, form=les fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"ins variables selon"	"les fruits et légumes"	"les fruits et légumes"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, légumes ( culture légumière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_legumieres"	"attaqués. Les larve"	"17948-17969"	"type=N_KON_N, match=fcu, form=les fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"fruitières (pêcher,"	"poirier, mangue, banane"	"poirier, mangue, banane"	"poirier ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers, mangue ( manguier ) =http://ontology.inrae.fr/frenchcropusage/Manguiers, banane ( bananier ) =http://ontology.inrae.fr/frenchcropusage/Bananiers"	",...), agrumes (citr"	"18170-18193"	"type=N_PUN_N, match=fcu, form=poirier, mangue, banane"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"...) et légumières ("	"tomate, poivron"	"tomate, poivron"	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, poivron ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	", aubergine, melon,"	"18244-18259"	"type=N_PUN_N, match=fcu, form=tomate, poivron"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"poivron, aubergine,"	"melon, courge"	"melon, courge"	"melon ( melon ) =http://ontology.inrae.fr/frenchcropusage/Melons, courge ( courge ) =http://ontology.inrae.fr/frenchcropusage/Courges"	",...). Bactrocera do"	"18272-18285"	"type=N_PUN_N, match=fcu, form=melon, courge"
"BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc"	"a communautaire des"	"fruits et légumes"	"fruits et légumes"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, légumes ( culture légumière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_legumieres"	". Toute suspicion do"	"18739-18756"	"type=N_KON_N, match=fcu, form=fruits et légumes"
"BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b"	"talie et en Sicile."	"Les tomates et les poivrons"	"Les tomates et les poivrons"	"tomates ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, poivrons ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	"sont les hôtes prin"	"1522-1549"	"type=N_KON_N, match=fcu, form=Les tomates et les poivrons"
"BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b"	"RFV sur tomates sur"	"fruits et feuilles"	" et feuilles"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"(Crédit photos : ht"	"2260-2278"	"type=N_KON_N, match=fcu, form=fruits et feuilles"
"BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b"	"es solanacées comme"	"l'aubergine, la pomme de terre, le poivron"	"l'aubergine, la pomme de terre, le poivron"	"pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poivron ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	"et aussi aux advent"	"4679-4721"	"type=N_PUN_N, match=fcu, form=l'aubergine, la pomme de terre, le poivron"
"BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b"	"t pondus isolés sur"	"les feuilles, fruits, pétioles et tiges"	"les feuilles, , pétioles et tiges"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	", plutôt sur la part"	"5141-5180"	"type=N_PUN_N_KON_N, match=fcu, form=les feuilles, fruits, pétioles et tiges"
"BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b"	"es des plantes. Sur"	"fruits, galeries et mines"	", galeries et mines"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"sont observées, sur"	"6495-6520"	"type=N_PUN_N_KON_N, match=fcu, form=fruits, galeries et mines"
"BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b"	"tes hôtes (morelle,"	"datura, repousse de tomate"	"datura, repousse de "	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates"	"). Vérifier si les p"	"6961-6987"	"type=N_PUN_N, match=fcu, form=datura, repousse de tomate"
"BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b"	"çon généralisée sur"	"feuilles, tiges et fruits"	"feuilles, tiges et "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	". Dydimella bryoniae"	"11719-11744"	"type=N_PUN_N_KON_N, match=fcu, form=feuilles, tiges et fruits"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	": forte pression en"	"aubergine et concombre"	"aubergine et concombre"	"aubergine ( aubergine ) =http://ontology.inrae.fr/frenchcropusage/Aubergines, concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	". Pucerons : en prog"	"1136-1158"	"type=N_KON_N, match=fcu, form=aubergine et concombre"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	": en progression en"	"aubergine et poivron"	"aubergine et poivron"	"aubergine ( aubergine ) =http://ontology.inrae.fr/frenchcropusage/Aubergines, poivron ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	". Aleurodes : en pro"	"1189-1209"	"type=N_KON_N, match=fcu, form=aubergine et poivron"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"gine. Mildiou : sur"	"cucurbitacées et salade"	"cucurbitacées et "	"salade ( salade ) =http://ontology.inrae.fr/frenchcropusage/Salades"	". Oïdium : présent e"	"1266-1289"	"type=N_KON_N, match=fcu, form=cucurbitacées et salade"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"Oïdium : présent en"	"cucurbitacées et tomate"	"cucurbitacées et "	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates"	", début en poivron."	"1311-1334"	"type=N_KON_N, match=fcu, form=cucurbitacées et tomate"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"Virus : observés en"	"cucurbitacée et piment"	"cucurbitacée et "	"piment ( piment ) =http://ontology.inrae.fr/frenchcropusage/Piments"	"d'Espelette. Auberg"	"1424-1446"	"type=N_KON_N, match=fcu, form=cucurbitacée et piment"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"tes hôtes (morelle,"	"datura, repousse de tomate"	"datura, repousse de "	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates"	"). o Vérifier si les"	"7812-7838"	"type=N_PUN_N, match=fcu, form=datura, repousse de tomate"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"nnée. Chenille dans"	"tomate et trou de chenille"	" et trou de chenille"	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates"	"dans piment(Crédit"	"13750-13776"	"type=N_KON_N, match=fcu, form=tomate et trou de chenille"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"e intensité faible."	"Courgette et courge"	"Courgette et courge"	"Courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes, courge ( courge ) =http://ontology.inrae.fr/frenchcropusage/Courges"	": dans les Landes,"	"14602-14621"	"type=N_KON_N, match=fcu, form=Courgette et courge"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"ie est observée sur"	"fleurs et fruits"	"fleurs et fruits"	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales, fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"sur 90 % des parcel"	"15535-15551"	"type=N_KON_N, match=fcu, form=fleurs et fruits"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"tis est signalé sur"	"feuilles, fruits et tige"	"feuilles,  et tige"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"en sol et en hors s"	"15691-15715"	"type=N_PUN_N_KON_N, match=fcu, form=feuilles, fruits et tige"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"égâts de thrips sur"	"feuille et fruit"	"feuille et "	"fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"d'aubergine (Crédit"	"17684-17700"	"type=N_KON_N, match=fcu, form=feuille et fruit"
"BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738"	"sentes. Punaise sur"	"choux et dégât"	"choux et dégât"	"choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"sur feuille (Crédit"	"21731-21745"	"type=N_KON_N, match=fcu, form=choux et dégât"
"BSV_No8_pomme_de_terre_17_mai_2019_cle8f91d1"	"les ( 3 bio) Pas de"	"mildiou, dégâts de gel"	"mildiou, dégâts de "	"gel ( gel ) =http://ontology.inrae.fr/frenchcropusage/Gels"	"sans conséquence Re"	"1506-1528"	"type=N_PUN_N, match=fcu, form=mildiou, dégâts de gel"
"BSV_legumes_02_du_20-03-19_cle455343"	"rcelles des réseaux"	"oignon et poireau"	"oignon et poireau"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux"	"Etat général Les ém"	"2138-2155"	"type=N_KON_N, match=fcu, form=oignon et poireau"
"BSV_legumes_02_du_20-03-19_cle455343"	"es plants d'allium ("	"oignon, poireau, oignon"	"oignon, poireau, oignon"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux, oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons"	"bulbille, échalote)"	"3413-3436"	"type=N_PUN_N, match=fcu, form=oignon, poireau, oignon"
"BSV_legumes_02_du_20-03-19_cle455343"	"on, poireau, oignon"	"bulbille, échalote"	"bulbille, "	"échalote ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	"). L'activité de la"	"3437-3455"	"type=N_PUN_N, match=fcu, form=bulbille, échalote"
"BSV_legumes_02_du_20-03-19_cle455343"	"ertains précédents ("	"céréales, lin"	"céréales, lin"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, lin ( lin ) =http://ontology.inrae.fr/frenchcropusage/Lins"	", crucifères, légumi"	"11026-11039"	"type=N_PUN_N, match=fcu, form=céréales, lin"
"BSV_legumes_02_du_20-03-19_cle455343"	"pas démarré.- Pour"	"les oignons et échalotes"	"les oignons et échalotes"	"oignons ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, échalotes ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	"bulbilles, le risqu"	"14433-14457"	"type=N_KON_N, match=fcu, form=les oignons et échalotes"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"5"	"solanacées et concombre"	"solanacées et "	"concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	"5"	"1593-1616"	"type=N_KON_N, match=fcu, form=solanacées et concombre"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"semaine. Risque nul"	"SOLANACEES ET CONCOMBRE"	"SOLANACEES ET "	"CONCOMBRE ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	"Composition du rése"	"12176-12199"	"type=N_KON_N, match=fcu, form=SOLANACEES ET CONCOMBRE"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"OMATE , AUBERGINE ,"	"POIVRON , CONCOMBRE"	"POIVRON , CONCOMBRE"	"POIVRON ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons, CONCOMBRE ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	") Etat général Les"	"13162-13181"	"type=N_PUN_N, match=fcu, form=POIVRON , CONCOMBRE"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"ies). THRIPS SP . ("	"AUBERGINE ,
CONCOMBRE , TOMATE ET POIVRON"	"AUBERGINE ,
CONCOMBRE , TOMATE ET POIVRON"	"AUBERGINE ( aubergine ) =http://ontology.inrae.fr/frenchcropusage/Aubergines, CONCOMBRE ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres, TOMATE ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, POIVRON ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	") Etat général Quel"	"13401-13442"	"type=N_PUN_N_KON_N, match=fcu, form=AUBERGINE ,
CONCOMBRE , TOMATE ET POIVRON"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"OPHAGES ("	"SOLANACEES
  
  
    ET CONCOMBRE"	"SOLANACEES
  
  
    ET "	"CONCOMBRE ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	") Etat général"	"14053-14086"	"type=N_KON_N, match=fcu, form=SOLANACEES
  
  
    ET CONCOMBRE"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"ES PHYSIOLOGIQUES ("	"TOMATE ,
CONCOMBRE , POIVRON"	"TOMATE ,
CONCOMBRE , POIVRON"	"TOMATE ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, CONCOMBRE ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres, POIVRON ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	"ET AUBERGINE ) Etat"	"14781-14809"	"type=N_PUN_N, match=fcu, form=TOMATE ,
CONCOMBRE , POIVRON"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"Coulure des fruits ("	"concombre, tomate et poivron"	"concombre, tomate et poivron"	"concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres, tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, poivron ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	") Blossom and rot (p"	"14951-14979"	"type=N_PUN_N_KON_N, match=fcu, form=concombre, tomate et poivron"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"n) Blossom and rot ("	"poivron, tomate"	"poivron, tomate"	"poivron ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons, tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates"	") Brûlure solaire (t"	"14998-15013"	"type=N_PUN_N, match=fcu, form=poivron, tomate"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"uilles trifoliées à"	"formation des gousses, secteurs"	"formation des , secteurs"	"gousses ( légume à graines ou à gousses ) =http://ontology.inrae.fr/frenchcropusage/Legumes_graines_gousses"	"Epieds en Beauce, O"	"15783-15814"	"type=N_PUN_N, match=fcu, form=formation des gousses, secteurs"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"icots stade levée à"	"formation des gousses, secteurs"	"formation des , secteurs"	"gousses ( légume à graines ou à gousses ) =http://ontology.inrae.fr/frenchcropusage/Legumes_graines_gousses"	"Saint Denis de l'Ho"	"15937-15968"	"type=N_PUN_N, match=fcu, form=formation des gousses, secteurs"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"Pour les bulbilles ("	"oignon et échalote"	"oignon et échalote"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, échalote ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	") et les oignons de"	"18229-18247"	"type=N_KON_N, match=fcu, form=oignon et échalote"
"BSV_legumes_16_du_24-07-19_cle4f7928"	"juillet 2019 : Pour"	"les oignons et échalotes"	"les oignons et échalotes"	"oignons ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, échalotes ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	"bulbilles ainsi que"	"18615-18639"	"type=N_KON_N, match=fcu, form=les oignons et échalotes"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"ppement de l'oïdium."	"Chou et salade"	"Chou et salade"	"Chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, Chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, salade ( salade ) =http://ontology.inrae.fr/frenchcropusage/Salades"	": chenilles défolia"	"2109-2123"	"type=N_KON_N, match=fcu, form=Chou et salade"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"les défoliatrices à"	"surveillerChou et navet"	"surveillerChou et "	"navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers"	": attention à la mo"	"2152-2175"	"type=N_KON_N, match=fcu, form=surveillerChou et navet"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"rcelles des réseaux"	"oignon et poireau"	"oignon et poireau"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux"	"Etat général Pour l"	"2706-2723"	"type=N_KON_N, match=fcu, form=oignon et poireau"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"es plants d'allium ("	"oignon, poireau, oignon"	"oignon, poireau, oignon"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux, oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons"	"bulbille, échalote,"	"3953-3976"	"type=N_PUN_N, match=fcu, form=oignon, poireau, oignon"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"on, poireau, oignon"	"bulbille, échalote"	"bulbille, "	"échalote ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	", ). L'activité de l"	"3977-3995"	"type=N_PUN_N, match=fcu, form=bulbille, échalote"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"est très polyphage ("	"céréales, colza"	"céréales, colza"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	", nombreux légumes )"	"4180-4195"	"type=N_PUN_N, match=fcu, form=céréales, colza"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"e. Des attaques sur"	"fruits et feuilles"	" et feuilles"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"sont repérées sur p"	"17886-17904"	"type=N_KON_N, match=fcu, form=fruits et feuilles"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"eau d'observation 6"	"parcelles de flageolets, grossissement des grains"	"parcelles de , grossissement des grains"	"flageolets ( haricot demi-sec ) =http://ontology.inrae.fr/frenchcropusage/Haricots_demi_sec"	"à récolte, secteurs"	"18166-18215"	"type=N_PUN_N, match=fcu, form=parcelles de flageolets, grossissement des grains"
"BSV_legumes_22_du_11-09-19__cle028fcc"	"iabon Châteaudun. 8"	"parcelles de haricots, filets"	"parcelles de , filets"	"haricots ( haricot ) =http://ontology.inrae.fr/frenchcropusage/Haricots"	"à récolte, secteurs"	"18301-18330"	"type=N_PUN_N, match=fcu, form=parcelles de haricots, filets"
"BSV_legumes_27_du_06-11-19__cle059f89"	"rcelles des réseaux"	"oignon et poireau"	"oignon et poireau"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux"	"Etat général Le nom"	"2064-2081"	"type=N_KON_N, match=fcu, form=oignon et poireau"
"BSV_legumes_27_du_06-11-19__cle059f89"	"emis est polyphage ("	"céréales, colza"	"céréales, colza"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	", nombreux légumes )"	"3860-3875"	"type=N_PUN_N, match=fcu, form=céréales, colza"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"ultures légumières,"	"allium et pomme de terre"	"allium et pomme de terre"	"pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	"Sommaire Crédit pho"	"149-173"	"type=N_KON_N, match=fcu, form=allium et pomme de terre"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"sibilité variétale."	"Les batavias et les laitues"	"Les batavias et les laitues"	"batavias ( laitue batavia ) =http://ontology.inrae.fr/frenchcropusage/Laitues_batavia, laitues ( laitue ) =http://ontology.inrae.fr/frenchcropusage/Laitues"	"sont plus sensibles"	"6851-6878"	"type=N_KON_N, match=fcu, form=Les batavias et les laitues"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"ances variétales En"	"batavia, la résistance"	", la résistance"	"batavia ( laitue batavia ) =http://ontology.inrae.fr/frenchcropusage/Laitues_batavia"	"intermédiaire la pl"	"8071-8093"	"type=N_PUN_N, match=fcu, form=batavia, la résistance"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"telles que le chou-"	"fleur, le brocoli, l'épinard"	"fleur, le brocoli, l'épinard"	"fleur ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales, brocoli ( chou brocoli ) =http://ontology.inrae.fr/frenchcropusage/Choux_brocolis"	"ou encore la mâche."	"8361-8389"	"type=N_PUN_N, match=fcu, form=fleur, le brocoli, l'épinard"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"riose de la carotte"	"Mouche de la carotte, modélisation"	"Mouche de la , modélisation"	"carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes"	"Alternariose de la"	"9688-9722"	"type=N_PUN_N, match=fcu, form=Mouche de la carotte, modélisation"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"r à proximité d'une"	"culture de tomates, l'arrachage"	"culture de , l'arrachage"	"tomates ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates"	"de ces dernières à"	"33956-33987"	"type=N_PUN_N, match=fcu, form=culture de tomates, l'arrachage"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"des sur les plants ("	"feuilles et fleurs"	"feuilles et "	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	") et dans le sol (su"	"40790-40808"	"type=N_KON_N, match=fcu, form=feuilles et fleurs"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"f dès les premières"	"fleurs, un lâcher"	", un lâcher"	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"de 3 à 4 individus"	"47451-47468"	"type=N_PUN_N, match=fcu, form=fleurs, un lâcher"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"t ralentissement de"	"la maturation des fruits, décrochage"	"la maturation des , décrochage"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"total de certaines"	"51795-51831"	"type=N_PUN_N, match=fcu, form=la maturation des fruits, décrochage"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"cariose bronzée sur"	"fruits de tomates et d'aubergines"	"fruits de tomates et d'aubergines"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, tomates ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates"	"Laurent GIARDINO Ma"	"54910-54943"	"type=N_KON_N, match=fcu, form=fruits de tomates et d'aubergines"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-12_cle449f16"	"cariose bronzée sur"	"foliole et fruit"	"foliole et "	"fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"d'Agriculture de l'"	"55045-55061"	"type=N_KON_N, match=fcu, form=foliole et fruit"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b"	"ultures légumières,"	"allium et pomme de terre"	"allium et pomme de terre"	"pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	"Sommaire Crédit pho"	"154-178"	"type=N_KON_N, match=fcu, form=allium et pomme de terre"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b"	"le tissé ou non) en"	"pépinière, fauchage des abords"	"pépinière, fauchage des abords"	"pépinière ( arboriculture ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture, pépinière ( horticulture ornementale ) =http://ontology.inrae.fr/frenchcropusage/Horticulture_ornementale"	". Eviter l'excès d'a"	"6454-6484"	"type=N_PUN_N, match=fcu, form=pépinière, fauchage des abords"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b"	"choux frisé, choux"	"fleur et brocolis"	"fleur et brocolis"	"fleur ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales, brocolis ( chou brocoli ) =http://ontology.inrae.fr/frenchcropusage/Choux_brocolis"	"BSV n° 14, 2019 Cul"	"12065-12082"	"type=N_KON_N, match=fcu, form=fleur et brocolis"
"BSV_legumes_allium_pomme_de_terre_AURA_2019-14_cle48f73b"	"choux frisé, choux"	"fleur et brocolisPlantes"	"fleur et brocolisPlantes"	"fleur ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"atteintes : 20 % su"	"12306-12330"	"type=N_KON_N, match=fcu, form=fleur et brocolisPlantes"
