"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"BSV-GC-n__33-01102019_cle41f418"	"de lutte. Limaces:"	"Colzas, pucerons"	", pucerons"	"Colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"verts (C.GAZET CA59"	"5049-5065"	"type=N_PUN_N, match=fcu, form=Colzas, pucerons"
"BSV-GC-n__33-01102019_cle41f418"	"dans une parcelle."	"Colza, larve de teigne"	", larve de teigne"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"des crucifères (C."	"6259-6281"	"type=N_PUN_N, match=fcu, form=Colza, larve de teigne"
"BSV-GC-n__33-01102019_cle41f418"	"res (C. GAZET CA59-"	"Colza, mouche du chou"	"Colza, mouche du chou"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"as3cot (F. CARLIER"	"6313-6334"	"type=N_PUN_N, match=fcu, form=Colza, mouche du chou"
"BSV-GC-n__36-22102019_cle43a7f1"	": Cette semaine, 26"	"parcelles de blé et d'orge"	"parcelles de  et d'orge"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"d'hiver ont été obs"	"361-387"	"type=N_KON_N, match=fcu, form=parcelles de blé et d'orge"
"BSV-GC-n__36-22102019_cle43a7f1"	"ngluées relevées en"	"blé et escourgeon"	"blé et escourgeon"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, escourgeon ( orge à six rangs ) =http://ontology.inrae.fr/frenchcropusage/Orges_six_rangs"	", nous observons 1,"	"1301-1318"	"type=N_KON_N, match=fcu, form=blé et escourgeon"
"BSV-GC-n__36-22102019_cle43a7f1"	"engluées relevées ("	"blé et orge"	"blé et orge"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	") : 9 présentent des"	"2080-2091"	"type=N_KON_N, match=fcu, form=blé et orge"
"BSV-GC-n__36-22102019_cle43a7f1"	"ioles des feuilles."	"Colza, stade"	", stade"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"10 feuilles (M. ROU"	"4968-4980"	"type=N_PUN_N, match=fcu, form=Colza, stade"
"BSV-GC-n__36-22102019_cle43a7f1"	"e (C.GAZET CA59-62)"	"Colza, larves"	", larves"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"d'altise à différen"	"6637-6650"	"type=N_PUN_N, match=fcu, form=Colza, larves"
"BSV-GC-n__36-22102019_cle43a7f1"	"dans une parcelle."	"Colza, larve de tenthrède et dégâts"	", larve de tenthrède et dégâts"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"sur feuille(H. GOSS"	"7780-7815"	"type=N_PUN_N_KON_N, match=fcu, form=Colza, larve de tenthrède et dégâts"
"BSV-GC-n__36-22102019_cle43a7f1"	"de GORRE CA59-62)"	"Colza, macules de Phoma"	", macules de Phoma"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"(H. GOSSE de GORRE"	"7856-7879"	"type=N_PUN_N, match=fcu, form=Colza, macules de Phoma"
"BSV_07-48_cereales_Normandie_2020_cle8d6d3f"	"o o La majorité des"	"parcelles de blé et d'orge"	"parcelles de  et d'orge"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"semées sont entre l"	"63-89"	"type=N_KON_N, match=fcu, form=parcelles de blé et d'orge"
"BSV_07-48_cereales_Normandie_2020_cle8d6d3f"	"entre la période de"	"sensibilité de la céréale et la période"	"sensibilité de la  et la période"	"céréale ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales"	"d'activité des cica"	"2350-2389"	"type=N_KON_N, match=fcu, form=sensibilité de la céréale et la période"
"BSV_19-19_cereales_Normandie_2019_cle8dba8a"	"arfois atteint. Sur"	"orge, la pression"	", la pression"	"orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	"rhynchosporiose est"	"889-906"	"type=N_PUN_N, match=fcu, form=orge, la pression"
"BSV_19-19_cereales_Normandie_2019_cle8dba8a"	"ès les pluies de ce"	"week-end, les rayons du soleil"	"week-end, les rayons du "	"soleil ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"pourraient assainir"	"6531-6561"	"type=N_PUN_N, match=fcu, form=week-end, les rayons du soleil"
"BSV_27-29_cereales_Normandie_2019_cle8e5177"	"lle avec historique"	"dégâts, maïs"	"dégâts, "	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"/maïs, mauvaise gest"	"1899-1911"	"type=N_PUN_N, match=fcu, form=dégâts, maïs"
"BSV_Colza_no01-20fev_cle091791"	"ement des premières"	"captures et la présence de colza"	"captures et la présence de "	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"aux tiges principal"	"2635-2667"	"type=N_KON_N, match=fcu, form=captures et la présence de colza"
"BSV_Colza_no01-20fev_cle091791"	"st conditionnée par"	"l'état du colza et la dynamique de croissance"	"l'état du  et la dynamique de croissance"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"des tiges. Photo F."	"3304-3349"	"type=N_KON_N, match=fcu, form=l'état du colza et la dynamique de croissance"
"BSV_Colza_no01-20fev_cle091791"	"conditions météo :"	"soleil, absence de vent, températures"	", absence de vent, températures"	"soleil ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"douces. Le vol est"	"3594-3631"	"type=N_PUN_N, match=fcu, form=soleil, absence de vent, températures"
"BSV_Colza_no17-02oct2019_cle8cb181"	"lon les situations ("	"état du colza et dynamique de pousse"	"état du  et dynamique de pousse"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"). Le risque limace"	"630-666"	"type=N_KON_N, match=fcu, form=état du colza et dynamique de pousse"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"DON64 Piétin verse ("	"Blé et triticale"	"Blé et triticale"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales"	") L'estimation du ri"	"7525-7541"	"type=N_KON_N, match=fcu, form=Blé et triticale"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"Fusariose des épis ("	"Blé et triticale"	"Blé et triticale"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales"	") : vigilance à l'ap"	"2113-2129"	"type=N_KON_N, match=fcu, form=Blé et triticale"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"cône dans le sol en"	"lieu et place de la semence"	"lieu et place de la "	"semence ( semence ) =http://ontology.inrae.fr/frenchcropusage/Semences"	"ou de la plantule."	"4741-4768"	"type=N_KON_N, match=fcu, form=lieu et place de la semence"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"n des graines avant"	"la levée, semence"	"la levée, "	"semence ( semence ) =http://ontology.inrae.fr/frenchcropusage/Semences"	"déterrée. Plantules"	"4818-4835"	"type=N_PUN_N, match=fcu, form=la levée, semence"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"s (Fiche technique)"	"Les blés et triticale"	"Les blés et triticale"	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales"	"entrent dans la pér"	"13091-13112"	"type=N_KON_N, match=fcu, form=Les blés et triticale"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"pour le blé tendre"	"d'hiver et le triticale"	"d'hiver et le triticale"	"triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales"	": Bulletin de Santé"	"13678-13701"	"type=N_KON_N, match=fcu, form=d'hiver et le triticale"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"ition des premières"	"fleurs, la nuisibilité"	", la nuisibilité"	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"peut s'avérer impor"	"8425-8447"	"type=N_PUN_N, match=fcu, form=fleurs, la nuisibilité"
"BSV_GC_NA_Limousin_17_20190730_cle0fa494"	"ue, semer tôt : sur"	"colza, les semis"	", les semis"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"tardifs sont généra"	"12527-12543"	"type=N_PUN_N, match=fcu, form=colza, les semis"
