	bsv	context	full_expression	match_with_fcu	proposition	context.1	location	features
49	BSV_GC_n_01_du_28_aout_2018_cle098cfb	p 02 Tournesol p 07	Tournesol et colza	Tournesol, colza		Soja p 08 Début de	438-456	type=N_KON_N, form=Tournesol et colza
50	BSV_GC_n_01_du_28_aout_2018_cle098cfb	ne, semis du 16/08,	Colza, apparition	Colza	apparition	de la 2ème feuille,	2495-2512	type=N_PUN_N, form=Colza, apparition
51	BSV_GC_n_19_du_26_03_19_cle8bda1e	er : Blé p. 6 Orges	d'hiver et escourgeons	escourgeons		p. 11 La pression d	361-383	type=N_KON_N, form=d'hiver et escourgeons
52	BSV_GC_n_19_du_26_03_19_cle8bda1e	ions brun foncé sur	les feuilles et les gousses	gousses		. Elle est favorisée	18177-18204	type=N_KON_N, form=les feuilles et les gousses
53	BSV_GC_n_1_du_27_08_19_cle0c116a	te semaine : Colza	Semis et levées de colza	colza	"semis,
levées de colza"	perturbés une fois	112-136	type=N_KON_N, form=Semis et levées de colza
54	BSV_GC_n_1_du_27_08_19_cle0c116a	té, dans les autres	cultures(tournesol, sorgho	sorgho	tournesol	, ) sans préjudice,	8234-8260	type=N_PUN_N, form=cultures(tournesol, sorgho
55	BSV_GC_n_27_du_21_05_19_cle8d148f	fin février : Orges	d'hiver et escourgeons	escourgeons		p. 9 Le risque mal	1377-1399	type=N_KON_N, form=d'hiver et escourgeons
56	BSV_GC_n_27_du_21_05_19_cle8d148f	. Puceron vert dans	pois de printemps, E	pois de printemps		. Bizot (CA89) Analy	17134-17154	type=N_PUN_N, form=pois de printemps, E
57	BSV_GC_n_27_du_21_05_19_cle8d148f	n. Altise sur jeune	tournesol, E	tournesol		. Joudelat (CA89) Am	19504-19516	type=N_PUN_N, form=tournesol, E
58	BSV_GC_n_27_du_21_05_19_cle8d148f	ures à risque comme	tournesol et soja	tournesol, soja		), déchaumage et fau	20593-20610	type=N_KON_N, form=tournesol et soja
59	BSV_GC_n_27_du_21_05_19_cle8d148f	ritoire de Belfort.	Stade et état du maïs	maïs	état du maïs	Le réchauffement pr	21309-21330	type=N_KON_N, form=Stade et état du maïs
60	BSV_GC_n_27_du_21_05_19_cle8d148f	ruites tardivement,	bordures de bois et haies	bois	"bordures de bois,
haies"	, parcelles régulièr	23636-23661	type=N_KON_N, form=bordures de bois et haies
61	BSV_GC_n_33_du_2_07_19_cle0b813e	ures à risque comme	tournesol et soja	tournesol, soja		), déchaumage et fau	3239-3256	type=N_KON_N, form=tournesol et soja
62	BSV_GC_n_33_du_2_07_19_cle0b813e	ritoire de Belfort.	Stade et état du maïs	maïs	état du maïs	La majorité des par	4012-4033	type=N_KON_N, form=Stade et état du maïs
63	BSV_GRANDES_CULTURES_2019_No21_cle091311	rties des plantes :	tiges, pétioles, gousses	gousses	"pétioles,
tiges"	. En cas d'attaques	20695-20719	type=N_PUN_N, form=tiges, pétioles, gousses
64	BSV_GRANDES_CULTURES_2019_No21_cle091311	, les galeries dans	les gousses, les grains de flageolet	gousses, flageolet	grains de flageolet	grignotés et la pré	20873-20909	type=N_PUN_N, form=les gousses, les grains de flageolet
65	BSV_GRANDES_CULTURES_2019_No21_cle091311	lle. Les précédents	maïs et la proximité de cultures	maïs	proximité de cultures	de maïs sont des fa	21007-21039	type=N_KON_N, form=maïs et la proximité de cultures
66	BSV_GRANDES_CULTURES_2019_No21_cle091311	NT Pomme de terre :	MILEOS et Oignon	Oignon	mileos	: MILONI : FREDON I	24251-24267	type=N_KON_N, form=MILEOS et Oignon
67	BSV_GRANDES_CULTURES_2019_No21_cle091311	égumes industriels,	arboriculture, maraîchage, pépinière	arboriculture, maraîchage, pépinière		horticulture. Pour	24693-24729	type=N_PUN_N, form=arboriculture, maraîchage, pépinière
68	BSV_GRANDES_CULTURES_2019_No24_cle0c9cf1	NT Pomme de terre :	MILEOS et Oignon	Oignon	mileos	: MILONI : FREDON I	15934-15950	type=N_KON_N, form=MILEOS et Oignon
69	BSV_GRANDES_CULTURES_2019_No24_cle0c9cf1	égumes industriels,	arboriculture, maraîchage, pépinière	arboriculture, maraîchage, pépinière		horticulture. Pour	16376-16412	type=N_PUN_N, form=arboriculture, maraîchage, pépinière
70	BSV_GRANDES_CULTURES_2019_No36_cle02e122	premiers dégâts en	parcelle de colza et interculture	colza	"parcelle de colza,
interculture"	/ repousses . COLZA	1164-1197	type=N_KON_N, form=parcelle de colza et interculture
71	BSV_GRANDES_CULTURES_2019_No36_cle02e122	ur 2 sites. D'autre	part, les arrachages de betteraves	betteraves	arrachages de betteraves	sont en cours et ce	14995-15029	type=N_PUN_N, form=part, les arrachages de betteraves
72	BSV_GRANDES_CULTURES_2019_No7_cle8446d7	. Au printemps avec	le redémarrage de la végétation, le champignon	champignon	redémarrage de végétation	progresse dans les	12257-12303	type=N_PUN_N, form=le redémarrage de la végétation, le champignon
73	BSV_GRANDES_CULTURES_2019_No7_cle8446d7	NT Pomme de terre :	MILEOS et Oignon	Oignon	mileos	: MILONI : FREDON I	15768-15784	type=N_KON_N, form=MILEOS et Oignon
74	BSV_GRANDES_CULTURES_2019_No7_cle8446d7	égumes industriels,	arboriculture, maraîchage, pépinière	arboriculture, maraîchage, pépinière		horticulture, JEVI.	16210-16246	type=N_PUN_N, form=arboriculture, maraîchage, pépinière
75	BSV_NA_GC_AQUITAINE_N25_20190801_cle0eefb1	res de Coniothyrium	minitans, champignon	champignon	minitans	parasite des scléro	11464-11484	type=N_PUN_N, form=minitans, champignon
76	BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e	sont fréquentes sur	les touffes de dactyle, fétuque	dactyle, fétuque	touffes de dactyle	ou/et paspale. Sur	2571-2602	type=N_PUN_N, form=les touffes de dactyle, fétuque
77	BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e	qui viennent. A ce	jour, les parcelles de colza	colza	parcelles de colza	du Sud-Ouest sont t	4315-4343	type=N_PUN_N, form=jour, les parcelles de colza
78	BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad	délégués Céréales à	paille et Maïs	Maïs	paille	Sandrine REGALDO et	459-473	type=N_KON_N, form=paille et Maïs
79	BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad	d de vallée humide,	présence de pailles, sol	pailles	présence de pailles	motteux ) et plus p	29298-29322	type=N_PUN_N, form=présence de pailles, sol
80	BSV_NA_GC_Poitou-Charentes_19_20190618_cle869d2b	délégués Céréales à	paille et Maïs	Maïs	paille	Sandrine REGALDO et	603-617	type=N_KON_N, form=paille et Maïs
81	BSV_NA_GC_Poitou-Charentes_19_20190618_cle869d2b	. Limaces Au vu des	stades du maïs, les attaques	maïs	"attaques,
stades du maïs"	de ce ravageur sont	2543-2571	type=N_PUN_N, form=stades du maïs, les attaques
82	BSV_NA_GC_Poitou-Charentes_19_20190618_cle869d2b	essentiellement sur	l'implication des producteurs et techniciens du maïs	maïs	"techniciens du maïs,
implication des producteurs"	qui assureront l'ob	9124-9176	type=N_KON_N, form=l'implication des producteurs et techniciens du maïs
83	BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15	délégués Céréales à	paille et Maïs	Maïs	paille	Sandrine REGALDO et	428-442	type=N_KON_N, form=paille et Maïs
84	BSV_NA_GC_Poitou_Charentes_04_20190306_cle854b15	rphe, Terre rouge à	châtaigniers, Limon	châtaigniers	limon	argileux profond as	10285-10304	type=N_PUN_N, form=châtaigniers, Limon
85	BSV_PDT_03_du_19_05_15_cle091415	innoculum primaire.	Les pommes de terre, lorsqu'elles	pommes de terre		vont se développer	1242-1275	type=N_PUN_N, form=Les pommes de terre, lorsqu'elles
86	BSV_cereales_paille_02_du_29-10-19_cle8cbcac	microclimat humide (	colza, trèfle, repousses de céréales	colza, trèfle, céréales	repousses de céréales	...) Le travail du s	10379-10415	type=N_PUN_N, form=colza, trèfle, repousses de céréales
