"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"14"	"FOOTER"	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"25-40"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"138"	"P"	"te-Claire, Moulin à"	"eau, Bois"	"eau , bois"	""	"Debout, La Regretté"	"196-205"	"type=N_PUN_N, match=fcu, form=eau, Bois"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"53"	"P"	"la propagation des"	"spores du champignon et la dissémination de la maladie"	"spore du champignon et le dissémination de le maladie"	""	"."	"282-336"	"type=N_KON_N, match=fcu, form=spores du champignon et la dissémination de la maladie"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"14"	"FOOTER"	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"25-40"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"14"	"FOOTER"	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"25-40"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"14"	"FOOTER"	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"25-40"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_CulturesVivrieres-Bilan2018_cle81e161.html"	"26"	"DIV"	"SICA Caraïbéenne de"	"Fruits Et Légumes"	"fruit et légume"	""	") :"	"126-143"	"type=N_KON_N, match=fcu, form=Fruits Et Légumes"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"25"	"FIGURE"	"en mirabelle, F en"	"poire et E2"	"poire et E2"	""	"en pomme. Photos M."	"49-60"	"type=N_KON_N, match=fcu, form=poire et E2"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"18"	"P"	"otamment les jeunes"	"plantations et les vergers"	"plantation et le verger"	""	"ayant été infestés"	"45-71"	"type=N_KON_N, match=fcu, form=plantations et les vergers"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"3"	"H1"	""	"Prunes et Cerises"	"prune et cerise"	""	""	"0-17"	"type=N_KON_N, match=fcu, form=Prunes et Cerises"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"83"	"P"	"ute l'année sur son"	"hôte, le pommier"	"hôte , le pommier"	""	". Les femelles aptèr"	"46-62"	"type=N_PUN_N, match=fcu, form=hôte, le pommier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_5_15_mars_2019_cle452e6e.html"	"214"	"P"	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"684-700"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_n19_du_11052017-1_cle84e61b.html"	"214"	"P"	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"684-700"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_n30_du_25052018_cle0ca846.html"	"214"	"P"	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"684-700"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_n34_du_16072019_cle0a1d81.html"	"214"	"P"	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"684-700"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_ARBO_2017_35_cle4d79ba.html"	"56"	"P"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"arboriculture , maraîchage , pépinière"	""	"horticulture, JEVI"	"292-328"	"type=N_PUN_N, match=fcu, form=arboriculture, maraîchage, pépinière"
