;bsv;context before;conjunction;match;proposition;context after;location;features
67;BSV_Colza_no08-05avril18_cle866147;st conditionnée par;l'état du colza, le nombre de piqûres et la dynamique de croissance;colza;;des tiges. Toute pi;3867-3934;type=N_PUN_N_KON_N, form=l'état du colza, le nombre de piqûres et la dynamique de croissance
68;BSV_Colza_no24-20nov2019_cle8157b8;es par la mouche du;chou, points;chou;;verts sur la carte;7858-7870;type=N_PUN_N, form=chou, points
69;BSV_GC_NA_Limousin_18_20200901_cle088995;aniques, précédents;protéagineux, reliquats;protéagineux;;post-récolte élevés;11063-11086;type=N_PUN_N, form=protéagineux, reliquats
70;BSV_GC_NA_Limousin_18_20200901_cle088995;ue, semer tôt : sur;colza, les;colza;;semis tardifs sont;13895-13905;type=N_PUN_N, form=colza, les
71;BSV_GC_n_15_du_10_mars_2015_cle0bc9b5;ançon de la tige du;colza, le;colza;;charançon de la tig;4326-4335;type=N_PUN_N, form=colza, le
72;BSV_GC_n_22_du_30_avril_2013_cle82bfbf;a dans la rotation (;colza, tournesol, soja, pois;colza, tournesol, soja, pois;;), les attaques rec;4826-4854;type=N_PUN_N, form=colza, tournesol, soja, pois
73;BSV_GC_n_22_du_30_avril_2013_cle82bfbf;ultures mellifères (;colza, tournesol, féverole, luzerne, maïs;colza, tournesol, féverole, luzerne, maïs;;, CIPAN ) en début d;18956-18997;type=N_PUN_N, form=colza, tournesol, féverole, luzerne, maïs
74;BSV_GRANDES_CULTURES_2017_No5_cle8b8eff;me de terre légumes;industriels, arboriculture, maraîchage, pépinière;arboriculture, maraîchage, pépinière;;horticulture, zones;15376-15425;type=N_PUN_N, form=industriels, arboriculture, maraîchage, pépinière
75;BSV_GRANDES_CULTURES_2017_No5_cle8b8eff;raîchage, pépinière;horticulture, zones;horticulture;;non agricoles. Pour;15426-15445;type=N_PUN_N, form=horticulture, zones
76;BSV_GRANDES_CULTURES_2018_No38_cle0b961f;NT Pomme de terre :;MILEOS et Oignon;Oignon;;: MILONI : FREDON I;16587-16603;type=N_KON_N, form=MILEOS et Oignon
77;BSV_GRANDES_CULTURES_2018_No38_cle0b961f;me de terre légumes;industriels, arboriculture, maraîchage, pépinière;arboriculture, maraîchage, pépinière;;horticulture, JEVI.;17016-17065;type=N_PUN_N, form=industriels, arboriculture, maraîchage, pépinière
78;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;airement à d'autres;champignons, les;champignons;;spores d'oïdium n'o;3417-3433;type=N_PUN_N, form=champignons, les
79;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;oins importante des;chênes, le;chênes;;Bulletin de Santé d;7197-7207;type=N_PUN_N, form=chênes, le
80;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;ffecter de nombreux;végétaux, oliviers, Prunus;oliviers;;(pêchers, amandiers;22971-22997;type=N_PUN_N, form=végétaux, oliviers, Prunus
81;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;, oliviers, Prunus (;pêchers, amandiers;pêchers, amandiers;;), laurier rose, vig;22999-23017;type=N_PUN_N, form=pêchers, amandiers
82;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;amandiers), laurier;rose, vigne, agrumes, caféiers, chênes;rose, vigne, agrumes, caféiers, chênes;;Les dépérissements;23028-23066;type=N_PUN_N, form=rose, vigne, agrumes, caféiers, chênes
83;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;plus attaqués sont;l'avocat, la mangue et la papaye;mangue, papaye;;mais l'espèce s'en;25795-25827;type=N_PUN_N_KON_N, form=l'avocat, la mangue et la papaye
84;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;s'en prend aussi au;citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café;citron, goyave, banane, tomate, cerise, kaki, ananas, pêche, poire, abricot, figue, café;"fruit de passion,
nèfle du japon,
cerise de cayenne";. Les légumes concer;25862-26000;type=N_PUN_N_KON_N, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café
85;BSV_JEVI_4_24_juillet_2019_cle4fa1b8;rnés sont notamment;les tomates, poivrons, melons et courges;tomates, poivrons, melons, courges;;. Bulletin de Santé;26039-26079;type=N_PUN_N_KON_N, form=les tomates, poivrons, melons et courges
86;BSV_Legumes_082019_cle841c8f-1;bservée sur oignons;bulbilles et ciboule;ciboule;;à Loos-en-Gohelle (;7357-7377;type=N_KON_N, form=bulbilles et ciboule
87;BSV_Legumes_082019_cle841c8f-1;ltures d'alliacées (;poireaux, ciboulette, ail;poireaux, ciboulette, ail;;) pour détecter d'é;7556-7581;type=N_PUN_N, form=poireaux, ciboulette, ail
88;BSV_Legumes_082019_cle841c8f-1;ue pour les oignons;bulbilles et échalotes;échalotes;;de plantation, oign;8557-8579;type=N_KON_N, form=bulbilles et échalotes
89;BSV_Legumes_082019_cle841c8f-1;les et échalotes de;plantation, oignon;oignon;;"de semis dit "" préc";8583-8601;type=N_PUN_N, form=plantation, oignon
90;BSV_Legumes_082019_cle841c8f-1;ntes observées. Sur;oignon, le;oignon;;risque est très fai;11642-11652;type=N_PUN_N, form=oignon, le
91;BSV_Legumes_082019_cle841c8f-1;40 plantes hôtes) :;haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme;haricot, concombre, épinard, tomate, radis, navet, oignon, poireau;;de terre Les femell;19753-19826;type=N_PUN_N, form=haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme
92;BSV_Legumes_082019_cle841c8f-1;"DELASSUS-PLRN; Chou-";fleur, choux;choux;;": F. SIMEON -PLRN;";22408-22420;type=N_PUN_N, form=fleur, choux
93;BSV_Legumes_082019_cle841c8f-1;conserve, Haricots;verts et Scorsonères;Scorsonères;;: L. NIVET-UNILET -;22542-22562;type=N_KON_N, form=verts et Scorsonères
94;BSV_Legumes_322019_2__cle44e13b;on des parcelles de;haricot et flageolet;haricot, flageolet;;: Ravageu;9553-9573;type=N_KON_N, form=haricot et flageolet
95;BSV_Legumes_322019_2__cle44e13b;"DELASSUS-PLRN; Chou-";fleur, choux;choux;;": F. SIMEON -PLRN;";13582-13594;type=N_PUN_N, form=fleur, choux
96;BSV_Legumes_322019_2__cle44e13b;conserve, Haricots;verts et Scorsonères;Scorsonères;;: L. NIVET-UNILET -;13712-13732;type=N_KON_N, form=verts et Scorsonères
97;BSV_MARAICHAGE_2018-17_cle04f12d;me de terre légumes;industriels, arboriculture, maraîchage, pépinière;arboriculture, maraîchage, pépinière;;horticulture, zones;12403-12452;type=N_PUN_N, form=industriels, arboriculture, maraîchage, pépinière
98;BSV_MARAICHAGE_2018-17_cle04f12d;raîchage, pépinière;horticulture, zones;horticulture;;non agricoles. Page;12453-12472;type=N_PUN_N, form=horticulture, zones
99;BSV_MARAICHAGE_2019_07_cle0cc493;même famille comme;la tomate, l'aubergine et le poivron;tomate, poivron;;. Cette bactérie peu;874-910;type=N_PUN_N_KON_N, form=la tomate, l'aubergine et le poivron
100;BSV_MARAICHAGE_2019_07_cle0cc493;ce-amère, la grande;ortie, les moutardes et le chénopode;ortie, moutardes;chénopode;blanc. Photos de mo;1043-1079;type=N_PUN_N_KON_N, form=ortie, les moutardes et le chénopode
101;BSV_MARAICHAGE_2019_07_cle0cc493;llifères (carottes,;panais, céleris, persil, fenouil, cerfeuil;panais, céleris, persil, fenouil, cerfeuil;;). Eloigner les par;11456-11498;type=N_PUN_N, form=panais, céleris, persil, fenouil, cerfeuil
102;BSV_MARAICHAGE_2019_07_cle0cc493;ges pour la mouche (;haies, bosquets, forêts;forêts;"
bosquets";). Compte tenu du s;11611-11634;type=N_PUN_N, form=haies, bosquets, forêts
103;BSV_MARAICHAGE_2019_07_cle0cc493;elle se trouve sur;salades, chou, pomme;salades, chou;;de terre, épinard,;12244-12264;type=N_PUN_N, form=salades, chou, pomme
104;BSV_MARAICHAGE_2019_07_cle0cc493;des, chou, pomme de;terre, épinard, haricot;épinard, haricot;;. Le papillon mesur;12268-12291;type=N_PUN_N, form=terre, épinard, haricot
105;BSV_MARAICHAGE_2019_07_cle0cc493;le chou-fleur, les;choux, le;choux;;colza, la moutarde;14815-14824;type=N_PUN_N, form=choux, le
