"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"période de levée du"	"colza"	"colza"	"colza"	"pour limiter les dé"	"5717-5722"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"sibles des nouveaux"	"colzas"	"colza"	"colza"	". Petit coléoptère ("	"5838-5844"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"tes Dès la levée du"	"colza"	"colza"	"colza"	", installez votre cu"	"6162-6167"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"ions sur la fiche """	"COLZA"	"colza"	"colza"	": gagner la course"	"7353-7358"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"s pucerons verts du"	"pêcher"	"pêcher"	"pêcher"	"(Myzus persicae) so"	"7598-7604"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Pechers, skos-prefLabel=pêcher, form=pêcher"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"yenne. La pyrale du"	"maïs"	"maïs"	"maïs"	"reste le principal"	"9364-9368"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"ection des pieds de"	"maïs"	"maïs"	"maïs"	": 5 pieds dans 5 zo"	"9972-9976"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"uvrir les cannes de"	"maïs"	"maïs"	"maïs"	"jusqu'au collet, mê"	"11191-11195"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"'au collet, même en"	"maïs ensilage"	"maïs ensilage"	"maïs fourrage"	"CAPDL RÉSEAU DE SU"	"11221-11234"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais_fourrage, skos-prefLabel=maïs fourrage, form=maïs ensilage"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20181002_bsv_grandes_cultures_29_cle0423a6.html"	"html"	"2330"	"P."	"ACTUALITÉS"	"Colza"	"colza"	"colza"	"Vol des grosses alt"	"13-18"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
