"bsv"	"type"	"length"	"header"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"BSV_28-19_cereales_Normandie_R2015_cle8e8112"	"html"	"6478"	""	"is la codification ("	"BBCH 13, 18 ou 32"	"BBCH @card@ , @card@ ou @card@"	""	") ne nous est pas f"	"3069-3086"	"type=BBCH_DD_KON_DD, canonical-form=BBCH 13, form=BBCH 13, 18 ou 32"
"BSV_28-19_cereales_Normandie_R2015_cle8e8112"	"html"	"6478"	" H2"	"es de stade Echelle"	"BBCH : Stade 15"	"BBCH : stade @card@"	""	", maïs à 5 feuilles"	"3819-3834"	"type=BBCH_STADE_DD, canonical-form=BBCH 15, form=BBCH : Stade 15"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"html"	"11937"	""	"nœuds visibles (C2"	"BBCH31"	"BBCH31"	""	") à ""Boutons accolés"	"1278-1284"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"html"	"11937"	""	"les terminales ""(D1"	"BBCH50"	"BBCH50"	""	"). Charançon de la t"	"1352-1358"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"html"	"11937"	""	"es sensibles D1/D2 ("	"BBCH5051"	"BBCH5051"	""	"). Céréales à paille"	"1722-1730"	"type=BBCH, canonical-form=BBCH 5051, form=BBCH5051"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"html"	"11937"	""	"nœuds visibles"" (C2"	"BBCH31"	"BBCH31"	""	"). 38% sont au stade"	"2351-2357"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"html"	"11937"	""	"es terminales "" (D1"	"BBCH50"	"BBCH50"	""	"). Photo : V. LACORR"	"2443-2449"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"html"	"11937"	""	"stade "" épi 1 cm "" ("	"BBCH 30"	"BBCH @card@"	""	") devrait être attei"	"6650-6657"	"type=BBCH-DD, canonical-form=BBCH 30, form=BBCH 30"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"e "" caryopse sec "" ("	"BBCH 00"	"BBCH @card@"	""	") au stade "" 6 Feuil"	"1343-1350"	"type=BBCH-DD, canonical-form=BBCH 00, form=BBCH 00"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"html"	"19099"	""	"ade "" 6 Feuilles "" ("	"BBCH 16"	"BBCH @card@"	""	"). Corvidés : les co"	"1377-1384"	"type=BBCH-DD, canonical-form=BBCH 16, form=BBCH 16"
