"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"t (BBCH29) à grains"	"laiteux(BBCH71-77"	"laiteux(BBCH @card@"	""	").Seuil indicatif de"	"5116-5133"	"type=BBCH-DD, canonical-form=BBCH 71-77, form=laiteux(BBCH71-77"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"Au stade épi 1 cm ("	"BBCH30"	"BBCH30"	""	") : présence de foye"	"5197-5203"	"type=BBCH, canonical-form=BBCH 30, form=BBCH30"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"ir du stade 1 nœud ("	"BBCH31"	"BBCH31"	""	") : dès les première"	"5373-5379"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	": de redressement ("	"BBCH29"	"BBCH29"	""	") à grains laiteux ("	"6138-6144"	"type=BBCH, canonical-form=BBCH 29, form=BBCH29"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	") à grains laiteux ("	"BBCH71-77"	"BBCH @card@"	""	").Seuil indicatif de"	"6164-6173"	"type=BBCH-DD, canonical-form=BBCH 71-77, form=BBCH71-77"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"du stade épi 1 cm ("	"BBCH30"	"BBCH30"	""	") : Quelque soit la"	"6231-6237"	"type=BBCH, canonical-form=BBCH 30, form=BBCH30"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"du stade 1-2 nœuds ("	"BBCH31-32"	"BBCH @card@"	""	") à gaine éclatée/so"	"7094-7103"	"type=BBCH-DD, canonical-form=BBCH 31-32, form=BBCH31-32"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"du stade 1-2 nœuds ("	"BBCH31-32"	"BBCH @card@"	""	") à gaine éclatée/so"	"8141-8150"	"type=BBCH-DD, canonical-form=BBCH 31-32, form=BBCH31-32"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"t à grains laiteux ("	"BBCH29"	"BBCH29"	""	"à BBCH 71-77).Seuil"	"9340-9346"	"type=BBCH, canonical-form=BBCH 29, form=BBCH29"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"s laiteux (BBCH29 à"	"BBCH 71-77"	"BBCH @card@"	""	").Seuil indicatif de"	"9349-9359"	"type=BBCH-DD, canonical-form=BBCH 71-77, form=BBCH 71-77"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"r du stade 2 nœuds ("	"BBCH32"	"BBCH32"	""	").Seuils indicatifs"	"11662-11668"	"type=BBCH, canonical-form=BBCH 32, form=BBCH32"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"floraison (stade E"	"BBCH57"	"BBCH57"	""	": boutons séparés)"	"16554-16560"	"type=BBCH, canonical-form=BBCH 57, form=BBCH57"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"t même le stade G3 ("	"BBCH72"	"BBCH72"	""	": 10 premières sili"	"16708-16714"	"type=BBCH, canonical-form=BBCH 72, form=BBCH72"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"ieure à 4 cm) etG2 ("	"BBCH71"	"BBCH71"	""	": 10 premières sili"	"16781-16787"	"type=BBCH, canonical-form=BBCH 71, form=BBCH71"
